insta_id,max_posts,follower,numMonth,numWeek,recent_post_date
juzusuke,12,525,12,4,20180718
naranja_accessory,12,136,0,0,20180618
h_birthdaytoyou,12,4138,12,9,20180718
takuizawa,12,1870,2,0,20180710
cream_bandh,12,441,8,2,20180717
ja_int,12,92,0,0,20180608
k.lovethailand,0,42,0,0,19700101
freedom_spectacles,12,273,0,0,20180320
oqoymomo,12,131,0,0,20180616
paddle_official,12,167,0,0,20180626
343s_webshop,12,598,3,0,20180714
anutrof.blanchet,12,2224,12,0,20180713
se_lection,12,88,0,0,20180613
enjoy_crop,12,685,6,1,20180718
eclat.hamamatsu,12,1244,12,3,20180719
tmhy.2525,12,1854,0,0,20180629
jango_oac,12,746,1,0,20180706
imamurayumi_yumiimamura,12,358,12,5,20180718
letoffe.niigata,12,1967,3,0,20180712
immypenny,12,278,0,0,20180509
crude.yamada,12,863,4,1,20180718
_aokimiwa_,12,463,2,0,20180712
otherlounge,12,1077,12,8,20180719
tcs_international,12,771,4,1,20180718
urushi610,12,749,12,9,20180718
solfeggiotones,12,106,0,0,20170618
3grrr,12,74,7,0,20180712
sea.ibiza,12,1843,12,2,20180718
hakudou,12,872,3,1,20180716
amalia_studio,12,438,1,0,20180702
stella.__8,12,563,2,0,20180713
yuzen_jewelry.suiu,12,66,0,0,20180312
ksmin2,12,6023,12,3,20180718
chiffonglass,12,256,0,0,20180603
blueverystudio,12,93,0,0,20170729
mayasworks,12,340,4,1,20180718
yagitee_info,12,49,6,4,20180718
gentletreesapporo,12,667,12,0,20180714
isao.1226,12,993,12,4,20180718
kotoribeach,12,279,9,1,20180716
rbfm_plus,12,2038,12,5,20180719
yoshiblessed,12,174,2,0,20180709
day_traction,12,503,0,0,20171006
R.Mstyle,12,430,0,0,20180509
bambi_garden,12,965,12,3,20180718
reads_nao,12,354,5,1,20180718
lapunieni,12,53,0,0,20151115
cento_f,12,24,6,0,20180706
shop_hyacca,12,385,4,0,20180712
doodle45,12,1526,2,0,20180704
n_a_o314,12,414,12,4,20180718
nekokick8787,12,146,3,0,20180713
crackbeerpunk,12,466,1,0,20180715
nonfiction_rubia,12,807,5,0,20180714
CALBERRY88,12,1400,0,0,20180415
chkuwan,12,900,11,4,20180719
loners1541,12,185,4,1,20180719
atease_style,12,183,5,0,20180714
ericalien,12,1483,3,0,20180709
equalia0124,9,9,4,0,20180713
