instagram_id,max_posts,follower,numMonth,numWeek,numMonthTag,numWeekTag,recent_post_date
team_maejima,0,826,0,0,0,0,19700101
000elegy000,12,379,2,0,0,0,20180826
mimi__ai,12,1606,12,3,0,0,20180905
originalshop_wu,1,16,1,1,0,0,20180905
shop.esora,12,181,0,0,0,0,20180711
003___sun,12,15,3,3,0,0,20180906
honamiworks,12,302,9,4,0,0,20180904
_noa.noa_,12,33,10,0,0,0,20180829
0o.unique.o0,12,1055,5,2,0,0,20180907
rika_nailgram,12,418,12,8,0,0,20180906
014momo,12,235,9,2,0,0,20180907
___01ka24,9,599,5,0,0,0,20180830
maruichi_official,12,505,4,0,0,0,20180830
___0214shop___,12,138,1,0,0,0,20180830
oto1jpn,4,0,4,1,0,0,20180906
022performance,12,963,12,7,0,0,20180907
youseinosippo,12,275,4,1,0,0,20180904
303saimi,12,2225,9,4,0,0,20180906
paintworker,12,94,1,1,0,0,20180904
honmoku_find,12,50,7,4,0,0,20180904
customade.045,9,42,9,1,0,0,20180904
un.cam,12,85,12,7,0,0,20180906
0550fifty_fifty,12,171,1,1,0,0,20180906
daisuke_kinto,12,316,0,0,0,0,20180705
mallowmallow_shop,12,3692,6,2,0,0,20180905
0613_official,2,4,2,0,0,0,20180817
biorajk,12,197,11,2,0,0,20180902
06ma9,12,2115,3,0,0,0,20180809
t_s_m_6,12,47,4,0,0,0,20180829
078kobe,12,556,0,0,0,0,20180429
maruya78_hide99,12,510,12,12,0,0,20180907
078_streetwear,12,421,12,6,0,0,20180905
Select_shop_Stellamaris,12,8409,12,7,0,0,20180904
mtsi07,12,64,12,6,0,0,20180906
manaco810,12,2161,12,4,0,0,20180905
0813_official,10,137,10,4,0,0,20180904
08coffee,12,3873,8,3,0,0,20180904
lastnanomachine,4,8,0,0,0,0,20180411
bunta.r,12,16454,12,8,0,0,20180907
cerisier._.herbarium,7,37,3,0,0,0,20180828
ch.ar.me,12,22,12,12,0,0,20180903
0glover,0,1932,0,0,0,0,19700101
rune.magic,12,311,0,0,0,0,20180511
harujion_closet,12,663,12,1,0,0,20180907
0jewelry,12,74,5,2,0,0,20180906
austere.co,12,39,0,0,0,0,20170117
0sivas_base0,6,35,5,3,0,0,20180904
thousand_leaves88,12,237,6,0,0,0,20180825
1001_horumon,12,465,8,2,0,0,20180906
1003books,12,880,12,11,0,0,20180907
inu1dog1,12,117,0,0,0,0,20180702
100hyakunen,12,1744,10,2,0,0,20180901
usami_syouten,12,206,5,1,0,0,20180906
102xdesign,12,413,12,2,0,0,20180906
103inc,12,901,7,3,0,0,20180907
10_48.to_sha,12,111,5,0,0,0,20180812
shimizubonnou,12,653,12,12,0,0,20180906
108collection,12,35,0,0,0,0,20170501
burn_design_store,12,264,0,0,0,0,20161209
10aiai15,12,107,2,0,0,0,20180831
from.amakusa,12,1986,12,12,0,0,20180907
reikafreedom,12,1319,7,1,0,0,20180905
10_mountain,12,673,12,1,0,0,20180905
10plusmizukidori,12,374,12,10,0,0,20180907
10sen_nekomonoya,12,163,6,0,0,0,20180829
10_toiro,12,28,2,0,0,0,20180821
yua.pbeatle,12,336,2,0,0,0,20180812
1103_hitomi_dog,12,379,12,12,0,0,20180905
110aika110,12,93,0,0,0,0,20180804
tatami_kumaki,12,252,12,7,0,0,20180903
1123yuina,12,738,7,2,0,0,20180905
1125select,12,189,1,0,0,0,20180819
shop.me_too,12,564,12,2,7,2,20180904
11dsgns,12,405,12,12,0,0,20180906
___11pm___,12,412,10,0,0,0,20180816
kanamoji.design,7,70,3,0,0,0,20180811
quatre.100,12,63,12,12,0,0,20180906
12.3_____,12,190,7,0,0,0,20180831
_____yume_,12,980,12,5,0,0,20180905
twelvehock,12,206,7,3,0,0,20180906
12merry25,12,29,0,0,0,0,20180212
kawachinaganohum,12,265,1,0,0,0,20180821
12twelv,12,253,0,0,0,0,20180721
131cocoronoinaca,12,115,12,2,0,0,20180905
13andbulls_official,12,7,0,0,0,0,20180412
13egeria,12,182,12,12,0,0,20180903
13mainzukuri,12,374,12,4,0,0,20180907
13oclock.info,8,3,8,2,0,0,20180831
yokai.ehon,12,162,1,0,0,0,20180809
quatorze.tokyo,12,1074,0,0,0,0,20180719
ikoyo_official,12,4559,12,5,0,0,20180907
selectshop_156closet,12,3318,12,12,0,0,20180907
fifteencoffeeroasters,12,311,1,0,0,0,20180811
ichigo.hat,12,67,0,0,0,0,20180806
posta_rumi.co,12,32,5,2,0,0,20180906
iroiro_selectshop,12,1437,12,4,0,0,20180905
1625kumiai,12,76,5,1,0,0,20180904
irohayadejima,12,549,12,5,0,0,20180906
16brand_jp,12,801,6,0,0,0,20180818
16zakka,12,260,12,4,0,0,20180902
1717sakura,12,446,12,4,0,0,20180906
175yade,12,522,1,0,0,0,20180827
mitsu.yua,12,1849,12,3,0,0,20180905
1911307_clothes,12,449,12,12,0,0,20180906
ka_3.6,12,147,3,0,0,0,20180823
ak2501sn,12,44,3,0,0,0,20180820
fashionable_1986,12,909,12,11,0,0,20180907
1988_official,12,553,0,0,0,0,20180724
1988.design,12,2610,0,0,0,0,20180512
___geranium___,12,889,12,8,0,0,20180907
xx1990_shop,12,2569,3,0,0,0,20180824
hanabi_kids,0,0,0,0,0,0,19700101
sss_okuyama_sss,3,35,0,0,0,0,20180804
199bnf,12,1166,4,1,0,0,20180901
aremo.koremo.nn,12,47,4,0,0,0,20180825
indigoblue1bluerose,11,41,0,0,0,0,20180709
_1_ca_,12,1582,5,0,0,0,20180827
1carat_diamond_nail,12,66,0,0,0,0,20180605
1ce_jp,12,110,0,0,0,0,20180801
plus1colorful,12,351,9,1,0,0,20180905
coral___life,12,1991,3,0,0,0,20180830
jstandard_official,12,401,2,0,0,0,20180826
1fstore,12,1279,12,12,0,0,20180906
one_heart_happiness,12,280,12,5,0,0,20180831
hitokotokotoba,12,6531,12,3,0,0,20180904
1o_log,12,704,6,2,5,2,20180905
one.kichijoji,12,3476,12,12,0,0,20180907
1percent,0,353,0,0,0,0,19700101
samidare.nippon,12,6106,12,1,0,0,20180904
1to2bldg,12,4150,12,11,0,0,20180907
nakahata123,6,197,0,0,0,0,20180624
saijo_gallery,12,227,1,1,0,0,20180905
soraneko_leather,12,290,6,0,0,0,20180821
2017mmw,12,323,1,0,0,0,20180829
101fleamarket,12,135,3,0,0,0,20180809
office_202,12,74,0,0,0,0,20170409
shop_205,9,255,9,0,0,0,20180829
mocomon1013,12,38,4,4,0,0,20180905
hannahshop2018,12,662,12,5,0,0,20180906
20vogue.fashion,12,676,12,12,0,0,20180907
210dk_ig,12,722,12,4,0,0,20180905
210_low,12,1742,11,2,0,0,20180906
2112atelier,12,49,0,0,0,0,20170507
21g__________,12,167,4,3,3,3,20180907
22j_boutique,12,6031,12,4,0,0,20180907
dressy_official,0,0,0,0,0,0,19700101
bianca_elena110,0,0,0,0,0,0,19700101
2329.co,12,297,4,1,0,0,20180903
neige_handmadeaccessory,12,305,3,1,0,0,20180902
23c_cyclelifeshop,12,311,12,4,0,0,20180905
23_fumi_kyoto,12,662,9,2,0,0,20180906
241638,12,523,9,0,0,0,20180828
