instagram_id,max_posts,follower,numMonth,numWeek,recent_post_date
iu09aoirob,12,19,0,0,19700101
tortelli_ciarliero,12,93,0,0,19700101
aozoraryokuyo,12,793,0,0,19700101
Aozorado,12,132,0,0,19700101
skymarket_,0,1,0,0,19700101
nainjp,12,176,0,0,19700101
select_mens_shop,12,375,0,0,19700101
appartement_paris,12,65,0,0,19700101
appli_base,12,85,0,0,19700101
aqa_shop2,12,69,0,0,19700101
aquxya_flowers,12,90,0,0,19700101
aquagarden12,12,104,0,0,19700101
leather_aqulia,12,184,0,0,19700101
area54_jdm,12,313,0,0,19700101
areren2013,12,125,0,0,19700101
arihirua,12,732,0,0,19700101
ariogasawara,12,500,7,2,20180905
ark_nova_official,12,1308,0,0,19700101
armadillo_distribution,12,1937,0,0,19700101
reikostyle33,12,171,0,0,19700101
aromaticus_accessory,12,1403,0,0,19700101
hinemo_rb,12,167,0,0,19700101
trickormind,12,30,0,0,19700101
artdaifuku,12,428,0,0,19700101
artplando,12,151,0,0,19700101
hirochikamachida,12,1793,0,0,19700101
asagoromo929,12,104,0,0,19700101
asahi_to_yuhi,12,453,0,0,19700101
asgrow148,12,774,0,0,19700101
tomoharu.nakagawa,12,2707,0,0,19700101
ashidaya2016,12,138,0,0,19700101
ashley_reekome,12,820,0,0,19700101
asuka_kawazu,12,58084,0,0,19700101
at123handmade,12,172,0,0,19700101
designgallerycitacita,12,260,0,0,19700101
okinawa.atelier43,12,372,0,0,19700101
atelier.ao,12,11565,0,0,19700101
ateliergluck,12,253,0,0,19700101
mocha_shop,12,96,0,0,19700101
_m.o.m.i_,12,10517,0,0,19700101
kotitti,12,1132,0,0,19700101
atelier_fiction,12,41,0,0,19700101
hirakata_may,12,152,0,0,19700101
atiromavs,12,270,0,0,19700101
atsugear,12,354,0,0,19700101
belt_attach,0,0,0,0,19700101
attic_shigeo,12,114,4,3,19700101
autobikebooks,12,104,0,0,19700101
avanza__official,12,299,0,0,19700101
fairtrade_awep,12,27,0,0,19700101
ayahime777,12,1315,0,0,19700101
a.y.a_w_a_home,12,124,0,0,19700101
ayaka.takeuchi625,12,4280,0,0,19700101
nekotadori,12,266,0,0,19700101
ayanoichiyanagi,12,826,0,0,19700101
mlletco,12,147,1,1,20180831
aykstamp,12,455,0,0,19700101
yamadaakiko1125,12,941,0,0,19700101
ayuayu.handmade,12,1540,0,0,19700101
glamjewels56,12,222,9,9,19700101
hachibayayurharbsri,12,5973,0,0,19700101
ayurworld.jpn,0,30,0,0,19700101
ayyyah258,12,513,0,0,19700101
azabu_yakuzen_curry,12,356,0,0,19700101
azaleashandmade,12,174,0,0,19700101
azuma.78tp,12,565,0,0,19700101
marble.b.b2,12,88,0,0,19700101
baby_face_store2017,12,53,0,0,19700101
baffi_select,12,629,0,0,19700101
bag.bus111,12,107,0,0,19700101
bahnabeer,12,85,0,0,19700101
forno32,12,1270,0,0,19700101
bakuchoya_net,12,307,0,0,19700101
balloonshop_r,12,1511,0,0,19700101
banalcomfortstore,12,1637,0,0,19700101
takubannai,12,3216,0,0,19700101
barberia1989,12,175,0,0,19700101
barber_sisters,12,116,0,0,19700101
bartendercafe,12,255,0,0,19700101
bardest_official,12,985,0,0,19700101
canon_kanno,12,1186,0,0,19700101
bassculture,12,1035,0,0,19700101
bycle_ev,12,31,0,0,19700101
bazf.official,12,225,0,0,19700101
bcr_kino,12,96,0,0,19700101
beachflap,12,411,0,0,19700101
beachvibes_bynaoko,12,121,0,0,19700101
beardman.theshop,6,21,0,0,19700101
bearfactoryfuk,12,103,0,0,19700101
shibuyanchi,0,62,0,0,19700101
bm_japan,12,235,0,0,19700101
beefman3x3,12,871,0,0,19700101
craftbeer_cafe,12,1228,0,0,19700101
behappy.a,12,101,0,0,19700101
beijar_accessory,12,149,0,0,19700101
mary0430,12,13763,0,0,19700101
belinda.accessory,12,706,0,0,19700101
belladonna.noir,12,606,0,0,19700101
bella_legame,12,57,0,0,19700101
bellelavie2017,12,215,1,0,20180828
bellete.mignonne,12,529,0,0,19700101
kohei_1991_,12,1215,0,0,19700101
benciny,12,348,0,0,19700101
roundtheworld_bernivinyl,12,1163,0,0,19700101
best.effort,12,129,0,0,19700101
bestie._shop,12,404,0,0,19700101
inside_beauty_by_hrm,12,880,0,0,19700101
beurre_noisette_mito,12,26,0,0,19700101
biene_baby_kids,12,47,0,0,19700101
bienmore,12,1150,0,0,19700101
bijokatsu.official,12,253,0,0,19700101
another_megane,12,73,0,0,19700101
CYCLEPAL81,12,31,0,0,19700101
bikowoodworks,12,88,2,0,20180829
billk_mowa,12,315,0,0,19700101
biobeauty.cosme,12,7,0,0,19700101
biolife_lab,12,513,0,0,19700101
birdcamp_,12,1222,0,0,19700101
chie_kasanuki,12,140,0,0,19700101
