shop_id,max_posts,follower,numMonth,numWeek,recent_post_date,insta_id
022performance,12,945,12,7,20180816
daisuke_kinto,12,317,0,0,20180705
100min.de.francais,12,8,0,0,20180101
10fit_jp,12,636,12,3,20180815
10square_marutee,12,2681,0,0,20180630
110aika110,12,92,3,0,20180804
kanamoji.design,7,65,4,1,20180811
123.mart,12,1712,0,0,20180629
138chiikineko,12,145,12,6,20180815
14bankobo,12,145,0,0,20180606
ikoyo_official,12,4354,2,2,20180816
warunekokun,0,5,0,0,19700101
199bnf,12,1165,4,1,20180810
pc.1banbo4,12,65,0,0,20180411
_1_ca_,12,1571,0,0,20180705
coral___life,12,1987,2,2,20180814
ak__2016,12,724,0,0,20180505
handmade.c4,12,132,8,2,20180810
247_market,12,318,6,2,20180812
24fragrance_inc,12,341,0,0,20180713
takeshi_24sekki,12,1118,4,1,20180811
2dare_official,12,108,11,5,20180815
2rc_official,12,870,0,0,20180603
kitchen_qumo,12,295,7,0,20180802
everyday365t,3,2,0,0,20160419
37camp,12,102,2,1,20180815
minamiyonokidsangel,12,29,3,1,20180814
3o_spice,12,3326,12,4,20180814
indyryota,12,663,1,0,20180729
i.l.e.t.e.l.l.e,12,42,3,0,20180731
yokoichi777,12,10228,5,2,20180812
513moment_for_kids,12,261,3,0,20180722
5150products,12,142,0,0,20180413
55gohan,12,2003,12,2,20180813
5gatsudo,12,1417,12,6,20180814
5senses_collection,12,390,7,2,20180813
636crux,12,169,0,0,20180710
6backwoods,12,155,3,0,20180723
102_oneotwo,12,1844,12,3,20180813
7color.handmade,12,1145,11,4,20180811
7colors_n,12,7,0,0,20170517
87toiro,12,350,12,1,20180815
88ohana_hachi88,12,1562,12,12,20180816
you_hman,12,132,2,1,20180813
eight_league_fukuoka,12,587,0,0,20180624
abesakebrewery,12,542,3,0,20180808
sportsintersection,12,1343,4,2,20180812
kiyoe175,0,182,0,0,19700101
accessory.muw,12,736,1,1,20180811
tie_accessory,12,69,4,0,20180808
ACOT_CAKE,12,796,12,2,20180811
emiadachi_kamikirimushi,12,1076,12,11,20180815
adom_tokyo,0,23,0,0,19700101
adupretokyo,12,1037,3,1,20180813
yumi26aq,12,227,0,0,20180610
af_lien,12,145,1,0,20180808
agapehealingcrystal,12,113,10,4,20180814
agito_vintage,12,391,12,3,20180813
southerndeliagoo,12,396,12,2,20180815
ah_n__,9,409,0,0,20180622
ahplus.puripuri,12,2637,12,2,20180814
ahs_handmade,12,397,9,1,20180813
anna.sonoda,12,9261,12,11,20180816
thecirculationoflove,12,309,3,0,20180809
airan.05,12,115,0,0,20180630
lapislazulilove,3,150,0,0,20180610
cochococho_kyoto,12,64,6,2,20180815
iz17.jp,11,11,0,0,20180607
ajianlucu1919,12,321,3,0,20180804
ak2015_3,12,1154,9,0,20180809
aka_handmade,12,839,5,1,20180810
akaneiro.accessory,12,780,12,1,20180814
akanesas_football,12,368,5,1,20180812
aki.cherryblossom.0411,12,1143,12,5,20180815
akihiro_sumiyoshi,12,597,4,1,20180811
akimotocoffee,12,2675,12,12,20180816
akinaiyamani,12,215,2,0,20180722
akinaruji,12,464,2,0,20180804
akira9093,12,3908,12,5,20180816
kamehama_takashi,12,530,12,12,20180816
akyuu.handcrafted,0,8,0,0,19700101
albumcafe.dfamily0,12,244,4,0,20180805
alia_m16,0,179,0,0,19700101
alicedoll_17,12,195,1,0,20180722
riz_a.m,12,228,9,3,20180814
alii_market31,12,420,0,0,20171002
ArtSelectShopAlii,12,254,12,1,20180815
vivante_base,12,43,0,0,20180125
alisa_select,12,78,0,0,20180405
alizeti_fashion,12,632,0,0,20180403
allegresse.time,12,683,12,12,20180816
allgood_7891,12,696,10,1,20180810
hiromi.saito.355,12,296,4,0,20180805
al.mondo0127,12,2622,12,7,20180816
aloalo_hat,12,207,12,1,20180810
alohacoand,12,364,12,1,20180811
ALOHAEKOMOMAI,12,704,9,2,20180815
moani_photo_salon,12,270,12,9,20180814
ayaka_alohaoi,12,8796,12,2,20180810
TOKYOWOODPICK,12,144,0,0,20180622
xxaazxx,12,163,8,5,20180813
alwanmaroc,12,491,12,5,20180815
amaashi_band,12,104,0,0,20180305
gajumaruphoto,12,3531,7,2,20180816
aaamemiii,12,299,12,10,20180812
amerie.fashionstore,12,206,0,0,20180519
miki_aoya,12,489,0,0,20180710
amilatte_jazz,12,431,0,0,20180505
aminomania.jp,3,10,0,0,20170823
NA,12,56072,1,0,20180725
amorphous_1st,12,104,10,6,20180816
amour_jp,12,662,0,0,20180605
amour_d.ete,12,276,1,0,20180717
amuritano_niwa,12,199,4,1,20180813
amyu_rr,12,197,0,0,20180316
analogic_yutenji,12,366,0,0,20170503
analogsiki,10,2,0,0,20180503
herbarium_an_mon,12,341,8,0,20180806
anbow_tochigi,12,452,0,0,20180713
anchori,12,1723,1,0,20180726
and2007,12,1148,3,1,20180811
andgraphics,12,533,2,1,20180812
andma.style,12,269,5,0,20180801
00anela00,12,51,0,0,20180714
anela_miki,12,184,0,0,20180619
anela.chappy,12,182,11,3,20180815
anela_liona,12,316,0,0,20180707
anemoneyouth_jp,12,89,0,0,20180623
anfamous_17,12,332,12,12,20180813
i_am_97girl,12,2047,12,0,20180806
angebloom_official,12,3197,12,7,20180816
tuki.to.taiyou,0,0,0,0,19700101
anima_florist,12,535,12,7,20180816
anncrea,12,411,12,2,20180815
anne.coquet.trunk,12,282,3,0,20180802
anonhat_asakokiyosawa,12,666,12,10,20180816
yukarikomatsuzaki,12,724,9,1,20180815
anticotter,12,1008,7,4,20180815
arco_iris777,12,179,12,1,20180810
anutrof.blanchet,12,2276,12,4,20180811
aoh_bikini,12,244,1,0,20180725
nei.aoi,12,572,5,0,20180729
iu09aoirob,12,19,0,0,20180608
arkaic_blue,12,295,8,0,20180807
aotamanyaaaan,12,1277,12,5,20180812
ayakosasakiporcelain,12,1858,8,2,20180814
apoul_official_jp,12,255,12,10,20180816
appartement_paris,12,64,0,0,20180616
ringo_ouji,12,4141,12,5,20180814
appli_base,12,85,2,0,20180730
apporodist,12,285,1,0,20180803
leather_aqulia,12,181,2,0,20180802
area54_jdm,12,315,1,1,20180809
areren2013,12,125,3,1,20180810
aretha_zakkashop,12,2774,3,1,20180811
miyaramasaaki,12,5518,0,0,20180617
_____arinco__,12,209,10,0,20180809
ark_nova_official,12,1264,12,5,20180815
armadillo_distribution,12,1982,1,0,20180725
haruka_nara,12,327,2,1,20180809
aromaticus_accessory,12,1393,3,2,20180813
aronhulu_clothing,12,488,2,1,20180811
trickormind,12,28,0,0,20180706
artcocktail_osaka,12,137,12,0,20180808
yumaahi,12,233,11,1,20180816
